@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,9766.5,4458.75,24,39,38.46,24,39,15,-386.25,6.63,5.47,0.77,6.64,663.38,939.44,882549.42,5307.75,707.7,88.46,125.26,15689.77,882549.42,3,1.416007
PASSED,8578.5,2211,22,36,53.85,22,36,14,-89.25,7.96,6.35,1.46,7.96,795.88,584.06,341131.61,6367.5,849,106.13,77.88,6064.56,341131.61,1,0.733817
PASSED,8220.75,2888.25,24,37,53.85,24,37,13,-201,6.67,5.49,0.79,6.67,666.5,510.48,260588.78,5332.5,711,88.87,68.06,4632.69,260588.78,1,0.765838
PASSED,8352.75,3916.5,28,45,38.46,28,45,17,-487.5,5.55,4.7,0.74,5.55,554.5,882.28,778416.88,4436.25,591.5,73.94,117.64,13838.52,778416.88,3,1.59102
PASSED,9006,2601.75,27,37,61.54,27,37,10,23.25,8.01,6.38,0.86,8.01,800.5,568.05,322677.27,6404.25,853.9,106.74,75.74,5736.49,322677.27,0,0.709575
PASSED,8018.25,3453.75,22,37,46.15,22,37,15,-434.25,5.71,4.81,0.76,5.71,570.5,848.19,719427.2,4564.5,608.6,76.07,113.09,12789.82,719427.2,2,1.486657
PASSED,8580.75,3181.5,22,36,53.85,22,36,14,-245.25,6.75,5.54,0.72,6.75,674.88,623.97,389336.41,5399.25,719.9,89.99,83.2,6921.54,389336.41,1,0.924547
PASSED,8442.75,3234.75,23,36,30.77,23,36,13,-199.5,6.51,5.38,0.78,6.51,651,1059.86,1123312.64,5208,694.4,86.8,141.32,19970,1123312.64,4,1.628111
PASSED,8107.5,2448.75,23,36,53.85,23,36,13,-129,7.07,5.77,0.86,7.07,707.25,584.89,342091.48,5658.75,754.5,94.31,77.98,6081.63,342091.48,1,0.826848
PASSED,8449.5,2514,23,35,53.85,23,35,12,-192.75,7.42,6,1.11,7.42,741.88,720.4,518980.05,5935.5,791.4,98.92,96.05,9226.31,518980.05,1,0.970987
PASSED,9297.75,2937,26,37,53.85,26,37,11,-167.25,7.95,6.35,0.89,7.95,795,676.35,457454.46,6360.75,848.1,106.01,90.18,8132.52,457454.46,1,0.850674
PASSED,7892.25,2509.5,22,35,53.85,22,35,13,-129,6.73,5.53,0.91,6.73,672.75,557.48,310778.79,5382.75,717.7,89.71,74.33,5524.96,310778.79,1,0.828559
PASSED,8801.25,3285.75,22,36,53.85,22,36,14,-245.25,6.89,5.64,0.72,6.89,689.38,637.97,407011.33,5515.5,735.4,91.93,85.06,7235.76,407011.33,1,0.925269
PASSED,8023.5,2509.5,23,36,53.85,23,36,13,-129,6.89,5.64,0.94,6.89,689.25,587.2,344799.7,5514,735.2,91.9,78.29,6129.77,344799.7,1,0.851904
PASSED,8749.5,3285.75,21,35,53.85,21,35,14,-245.25,6.83,5.6,0.71,6.83,682.88,631.25,398476.83,5463.75,728.5,91.06,84.17,7084.03,398476.83,1,0.924336
PASSED,8070,2448.75,23,36,53.85,23,36,13,-129,7.03,5.73,0.85,7.03,702.63,577.21,333175.84,5621.25,749.5,93.69,76.96,5923.13,333175.84,1,0.821432
PASSED,9157.5,3185.25,26,38,53.85,26,38,12,-167.25,7.47,6.03,0.84,7.47,746.5,599.66,359586.55,5972.25,796.3,99.54,79.95,6392.65,359586.55,1,0.803195
PASSED,10789.5,4863,33,51,53.85,33,51,18,-14.25,7.41,5.99,0.8,7.41,740.75,565.81,320141.22,5926.5,790.2,98.77,75.44,5691.4,320141.22,1,0.763795
PASSED,10497.75,4228.5,27,41,53.85,27,41,14,-167.25,7.84,6.27,0.85,7.84,783.63,692.22,479164.56,6269.25,835.9,104.49,92.3,8518.48,479164.56,1,0.883338
PASSED,9879,2814,24,37,53.85,24,37,13,-41.25,8.83,6.91,0.77,8.83,883.13,633.85,401762.81,7065,942,117.75,84.51,7142.45,401762.81,1,0.717707
PASSED,8538.75,2100.75,23,36,53.85,23,36,13,-89.25,8.05,6.41,1.48,8.05,804.75,592.31,350832.52,6438,858.4,107.3,78.97,6237.02,350832.52,1,0.735974
PASSED,6796.5,2613.75,21,36,30.77,21,36,15,-306,5.23,4.46,0.8,5.23,522.75,1044.3,1090568.74,4182.75,557.7,69.71,139.24,19387.89,1090568.74,4,1.997418
PASSED,8598,2532.75,21,36,53.85,21,36,15,-212.25,7.58,6.11,1.12,7.58,758.13,632.8,400430.17,6065.25,808.7,101.09,84.37,7118.76,400430.17,1,0.834603
PASSED,8717.25,3140.25,23,37,53.85,23,37,14,-194.25,6.97,5.7,0.88,6.97,697.13,578.01,334098.14,5577,743.6,92.95,77.07,5939.52,334098.14,1,0.829155
PASSED,8550.75,3423.75,30,47,53.85,30,47,17,-230.25,6.41,5.31,0.73,6.41,640.88,627.57,393846.19,5127,683.6,85.45,83.68,7001.71,393846.19,1,0.979286
PASSED,9382.5,2926.5,25,37,53.85,25,37,12,-108.75,8.07,6.42,0.91,8.07,807,656.62,431155.13,6456,860.8,107.6,87.55,7664.98,431155.13,1,0.813662
PASSED,9150.75,2457.75,27,37,53.85,27,37,10,-48,8.37,6.61,0.91,8.37,836.63,628.84,395439.19,6693,892.4,111.55,83.85,7030.03,395439.19,1,0.751681
PASSED,9813,3410.25,28,43,53.85,28,43,15,-266.25,8,6.38,0.88,8,800.25,679,461045.6,6402.75,853.7,106.71,90.53,8196.37,461045.6,1,0.848374
PASSED,8787,3596.25,30,47,53.85,30,47,17,-192.75,6.49,5.37,0.73,6.49,648.75,624.83,390408.54,5190.75,692.1,86.51,83.31,6940.6,390408.54,1,0.96301
PASSED,7052.25,2579.25,22,35,46.15,22,35,13,-434.25,5.59,4.73,0.8,5.59,559.13,826.3,682766.44,4473,596.4,74.55,110.17,12138.07,682766.44,2,1.4778
PASSED,8950.5,4242,24,42,38.46,24,42,18,-282,5.89,4.94,0.71,5.89,588.5,926.86,859062.77,4708.5,627.8,78.48,123.58,15272.23,859062.77,3,1.574669
PASSED,9829.5,2814,24,37,53.85,24,37,13,-41.25,8.77,6.87,0.76,8.77,876.88,626.82,392902.7,7015.5,935.4,116.93,83.58,6984.94,392902.7,1,0.714787
PASSED,8262,1922.25,25,35,53.85,25,35,10,-266.25,7.92,6.33,1.45,7.93,792.38,724.79,525315.8,6339.75,845.3,105.66,96.64,9338.95,525315.8,1,0.914632
PASSED,8683.5,2733,23,36,53.85,23,36,13,-194.25,7.44,6.01,0.92,7.44,743.75,605.05,366083.41,5950.5,793.4,99.17,80.67,6508.15,366083.41,1,0.813452
PASSED,8758.5,2601.75,26,36,61.54,26,36,10,23.25,7.7,6.18,0.84,7.7,769.5,527.41,278162.09,6156.75,820.9,102.61,70.32,4945.1,278162.09,0,0.685313
PASSED,9872.25,3295.5,26,40,53.85,26,40,14,-266.25,8.22,6.52,0.92,8.22,822,789,622526.27,6576.75,876.9,109.61,105.2,11067.13,622526.27,1,0.959766
PASSED,7202.25,2579.25,22,35,46.15,22,35,13,-434.25,5.78,4.86,0.83,5.78,577.88,862.45,743825.81,4623,616.4,77.05,114.99,13223.57,743825.81,2,1.492408
PASSED,6605.25,2613.75,20,35,30.77,20,35,15,-306,4.99,4.29,0.76,4.99,498.88,985.36,970930.66,3991.5,532.2,66.52,131.38,17260.99,970930.66,4,1.975045
PASSED,9099.75,3535.5,24,38,30.77,24,38,14,-199.5,6.96,5.69,0.83,6.95,695.5,1164.97,1357155.98,5564.25,741.9,92.74,155.33,24127.22,1357155.98,4,1.674898
PASSED,6380.25,2613.75,20,35,30.77,20,35,15,-306,4.71,4.08,0.71,4.71,470.75,916.75,840423.63,3766.5,502.2,62.77,122.23,14940.86,840423.63,4,1.947268
PASSED,6905.25,2579.25,22,35,46.15,22,35,13,-434.25,5.41,4.6,0.77,5.41,540.75,792.28,627703.45,4326,576.8,72.1,105.64,11159.17,627703.45,2,1.465187
PASSED,8958,3615.75,22,37,53.85,22,37,15,-317.25,6.68,5.5,0.72,6.68,667.75,619.8,384155.99,5342.25,712.3,89.04,82.64,6829.44,384155.99,1,0.928122
PASSED,9923.25,3905.25,27,41,53.85,27,41,14,-201,7.52,6.07,0.81,7.52,752.25,664.27,441249.19,6018,802.4,100.3,88.57,7844.43,441249.19,1,0.883051
PASSED,7949.25,3733.5,22,38,38.46,22,38,16,-539.25,5.27,4.5,0.71,5.27,526.88,884.95,783145.12,4215.75,562.1,70.26,117.99,13922.58,783145.12,3,1.679334
PASSED,8468.25,3181.5,22,36,53.85,22,36,14,-245.25,6.61,5.45,0.71,6.61,660.75,606.02,367261.8,5286.75,704.9,88.11,80.8,6529.1,367261.8,1,0.917036
PASSED,6046.5,2807.25,20,36,30.77,20,36,16,-615.75,4.05,3.57,0.74,4.05,404.88,1039.59,1080746.5,3239.25,431.9,53.99,138.61,19213.27,1080746.5,4,2.567327
PASSED,8399.25,3780.75,22,40,30.77,22,40,18,-268.5,5.77,4.86,0.79,5.77,577.25,1054.19,1111314.63,4618.5,615.8,76.98,140.56,19756.7,1111314.63,4,1.825929
PASSED,7982.25,2378.25,23,35,53.85,23,35,12,-201,7.01,5.72,0.84,7.01,700.5,576.9,332809.88,5604,747.2,93.4,76.92,5916.62,332809.88,1,0.823555
PASSED,9158.25,2937,25,36,53.85,25,36,11,-167.25,7.78,6.23,0.87,7.78,777.63,650.18,422732.03,6221.25,829.5,103.69,86.69,7515.24,422732.03,1,0.83605
PASSED,10577.25,4526.25,28,43,53.85,28,43,15,-201,7.56,6.09,0.77,7.56,756.38,642.45,412741.97,6051,806.8,100.85,85.66,7337.63,412741.97,1,0.84938
PASSED,8157.75,1880.25,25,36,53.85,25,36,11,-96,7.85,6.28,1.36,7.85,784.63,621.71,386527.75,6277.5,837,104.63,82.9,6871.6,386527.75,1,0.792316
PASSED,10424.25,4846.5,28,46,53.85,28,46,18,-150.75,6.97,5.7,0.75,6.97,697.13,605.17,366224.91,5577.75,743.7,92.96,80.69,6510.66,366224.91,1,0.868008
PASSED,8289,1922.25,26,36,53.85,26,36,10,-266.25,7.96,6.35,1.46,7.96,795.75,730.84,534125.18,6366.75,848.9,106.11,97.45,9495.56,534125.18,1,0.918387
PASSED,8202,1922.25,25,35,53.85,25,35,10,-266.25,7.85,6.28,1.43,7.85,784.88,711.55,506310.33,6279.75,837.3,104.66,94.87,9001.07,506310.33,1,0.906459
PASSED,8689.5,3208.5,21,36,53.85,21,36,15,-505.5,6.85,5.61,0.8,6.85,685.13,720.38,518940.84,5481,730.8,91.35,96.05,9225.61,518940.84,1,1.05145
PASSED,8870.25,2958.75,23,37,53.85,23,37,14,-129,7.39,5.98,0.9,7.39,738.88,631.2,398417.31,5911.5,788.2,98.52,84.16,7082.97,398417.31,1,0.854243
PASSED,10514.25,4248,27,42,53.85,27,42,15,-96,7.83,6.27,0.84,7.83,783.25,645.38,416519.01,6266.25,835.5,104.44,86.05,7404.78,416519.01,1,0.823918
PASSED,10338,3629.25,26,39,53.85,26,39,13,-107.25,8.39,6.63,0.94,8.39,838.5,707.58,500674.57,6708.75,894.5,111.81,94.34,8900.88,500674.57,1,0.843753
PASSED,9792,2814,24,37,53.85,24,37,13,-41.25,8.72,6.84,0.76,8.72,872.25,621.73,386547.33,6978,930.4,116.3,82.9,6871.95,386547.33,1,0.712812
PASSED,9027,2937,25,36,53.85,25,36,11,-167.25,7.61,6.13,0.86,7.61,761.25,627.65,393949.83,6090,812,101.5,83.69,7003.55,393949.83,1,0.824532
PASSED,8508,2694.75,22,35,53.85,22,35,13,-230.25,7.27,5.9,1.15,7.27,726.63,735.63,541155.86,5813.25,775.1,96.89,98.08,9620.55,541155.86,1,1.012282
PASSED,8664,2514,24,36,53.85,24,36,12,-192.75,7.69,6.17,1.16,7.69,768.75,770.78,594103.64,6150,820,102.5,102.77,10561.84,594103.64,1,1.002634
PASSED,8022.75,1880.25,24,35,53.85,24,35,11,-96,7.68,6.17,1.32,7.68,767.75,591.61,350001.81,6142.5,819,102.38,78.88,6222.25,350001.81,1,0.770463
PASSED,8045.25,1880.25,25,36,53.85,25,36,11,-96,7.71,6.19,1.33,7.71,770.63,596.5,355812.61,6165,822,102.75,79.53,6325.56,355812.61,1,0.774015
PASSED,7443,2832,21,36,30.77,21,36,15,-268.5,5.76,4.85,0.83,5.76,576.38,1111.19,1234737.28,4611,614.8,76.85,148.16,21950.89,1234737.28,4,1.927912
PASSED,8378.25,3534,23,36,38.46,23,36,13,-386.25,6.06,5.06,0.72,6.05,605.5,828.13,685793.66,4844.25,645.9,80.74,110.42,12191.89,685793.66,3,1.3676
PASSED,10431,3785.25,27,40,53.85,27,40,13,-48,8.31,6.58,0.88,8.31,830.63,590.79,349035.19,6645.75,886.1,110.76,78.77,6205.07,349035.19,1,0.711177
PASSED,9345,3047.25,25,37,53.85,25,37,12,-164.25,7.87,6.3,0.76,7.87,787.13,606.96,368400.66,6297.75,839.7,104.96,80.93,6549.34,368400.66,1,0.771056
PASSED,8330.25,3234.75,23,36,30.77,23,36,13,-199.5,6.37,5.28,0.77,6.37,636.88,1027.25,1055235.2,5095.5,679.4,84.92,136.97,18759.74,1055235.2,4,1.61293
PASSED,8426.25,2100.75,22,35,53.85,22,35,13,-89.25,7.91,6.32,1.46,7.91,790.63,579.54,335869.14,6325.5,843.4,105.43,77.27,5971.01,335869.14,1,0.732903
PASSED,7004.25,2918.25,20,35,38.46,20,35,15,-539.25,5.11,4.38,0.73,5.11,510.75,853.9,729144.28,4086,544.8,68.1,113.85,12962.57,729144.28,3,1.671806
PASSED,9238.5,2987.25,26,39,53.85,26,39,13,-266.25,7.81,6.26,0.88,7.81,781.38,685.87,470415.58,6251.25,833.5,104.19,91.45,8362.94,470415.58,1,0.877723
PASSED,8442,3181.5,21,35,53.85,21,35,14,-245.25,6.58,5.43,0.71,6.57,657.5,602.09,362509.42,5260.5,701.4,87.68,80.28,6444.61,362509.42,1,0.915602
PASSED,9532.5,3711.75,24,39,53.85,24,39,15,-30,7.28,5.9,0.8,7.28,727.5,496.93,246937.85,5820.75,776.1,97.01,66.26,4390.01,246937.85,1,0.683022
PASSED,8493.75,3181.5,22,36,53.85,22,36,14,-245.25,6.64,5.47,0.72,6.64,664,609.94,372022.73,5312.25,708.3,88.54,81.32,6613.74,372022.73,1,0.918455
PASSED,8663.25,2100.75,23,36,53.85,23,36,13,-89.25,8.2,6.51,1.5,8.2,820.25,608.79,370619.27,6562.5,875,109.38,81.17,6588.79,370619.27,1,0.742092
PASSED,7858.5,2509.5,23,36,53.85,23,36,13,-129,6.69,5.5,0.9,6.69,668.63,550.13,302639.63,5349,713.2,89.15,73.35,5380.26,302639.63,1,0.822771
PASSED,8496.75,2532.75,20,35,53.85,20,35,15,-212.25,7.45,6.02,1.09,7.45,745.5,617.58,381406.64,5964,795.2,99.4,82.34,6780.56,381406.64,1,0.82837
PASSED,8625.75,2100.75,23,36,53.85,23,36,13,-89.25,8.16,6.48,1.49,8.16,815.63,603.57,364302.56,6525,870,108.75,80.48,6476.49,364302.56,1,0.740046
PASSED,8323.5,2532.75,20,35,53.85,20,35,15,-212.25,7.24,5.88,1.05,7.24,723.75,595.03,354056.84,5790.75,772.1,96.51,79.34,6294.34,354056.84,1,0.822091
PASSED,7966.5,3741.75,22,40,30.77,22,40,18,-320.25,5.28,4.5,0.71,5.28,528,1000.29,1000572.54,4224.75,563.3,70.41,133.37,17787.96,1000572.54,4,1.894191
PASSED,7478.25,2667.75,20,35,30.77,20,35,15,-342,6.01,5.03,1.04,6.01,601.25,1044.09,1090129.05,4810.5,641.4,80.17,139.21,19380.07,1090129.05,4,1.736435
PASSED,9596.25,3028.5,26,37,53.85,26,37,11,-164.25,8.21,6.51,0.78,8.21,820.88,646.03,417348.7,6567.75,875.7,109.46,86.14,7419.53,417348.7,1,0.786954
PASSED,9143.25,3795.75,26,42,30.77,26,42,16,-218.25,6.68,5.5,0.79,6.68,668.38,1034.41,1070008.28,5347.5,713,89.12,137.92,19022.37,1070008.28,4,1.547576
PASSED,8279.25,2694.75,22,35,53.85,22,35,13,-230.25,6.98,5.7,1.09,6.98,698,680.99,463751.69,5584.5,744.6,93.08,90.8,8244.47,463751.69,1,0.975505
PASSED,8502.75,3087,22,36,53.85,22,36,14,-317.25,6.77,5.56,0.73,6.77,676.88,621.1,385765.45,5415.75,722.1,90.26,82.81,6858.05,385765.45,1,0.917461
PASSED,9393,3111.75,27,38,61.54,27,38,11,23.25,7.85,6.28,0.85,7.85,785.13,539.13,290655.91,6281.25,837.5,104.69,71.88,5167.22,290655.91,0,0.686599
PASSED,7175.25,2838.75,20,35,30.77,20,35,15,-333.75,5.42,4.61,0.75,5.42,542,1041.56,1084838.03,4336.5,578.2,72.27,138.87,19286.01,1084838.03,4,1.921544
PASSED,9355.5,2926.5,24,36,53.85,24,36,12,-108.75,8.04,6.4,0.91,8.04,803.63,651.68,424683.98,6429,857.2,107.15,86.89,7549.94,424683.98,1,0.810919
PASSED,8187,2448.75,22,35,53.85,22,35,13,-129,7.17,5.83,0.87,7.17,717.25,601.67,362009.95,5738.25,765.1,95.64,80.22,6435.73,362009.95,1,0.83877
PASSED,9557.25,3618,30,46,53.85,30,46,16,-266.25,7.42,6,0.85,7.42,742.38,719.18,517218.95,5939.25,791.9,98.99,95.89,9195,517218.95,1,0.968684
PASSED,7800.75,3579.75,27,45,38.46,27,45,18,-456.75,5.28,4.5,0.72,5.28,527.63,963.43,928199.81,4221,562.8,70.35,128.46,16501.33,928199.81,3,1.826013
PASSED,8430,4113.75,25,43,38.46,25,43,18,-429,5.4,4.59,0.72,5.39,539.5,854.18,729631.12,4316.25,575.5,71.94,113.89,12971.22,729631.12,3,1.583125
PASSED,8659.5,3534,23,36,38.46,23,36,13,-386.25,6.41,5.31,0.75,6.41,640.63,894.19,799577.97,5125.5,683.4,85.43,119.23,14214.72,799577.97,3,1.395646
PASSED,8412,2514,24,36,53.85,24,36,12,-192.75,7.37,5.97,1.1,7.37,737.25,711.96,506880.14,5898,786.4,98.3,94.93,9011.2,506880.14,1,0.965717
PASSED,8539.5,3204.75,21,36,53.85,21,36,15,-505.5,6.67,5.49,0.78,6.67,666.75,715.16,511449.54,5334.75,711.3,88.91,95.35,9092.44,511449.54,1,1.072433
PASSED,8035.5,2509.5,23,36,53.85,23,36,13,-129,6.91,5.65,0.94,6.91,690.75,590,348098.2,5526,736.8,92.1,78.67,6188.41,348098.2,1,0.85418
PASSED,7958.25,1880.25,24,35,53.85,24,35,11,-96,7.6,6.12,1.3,7.6,759.75,577.89,333957.94,6078,810.4,101.3,77.05,5937.03,333957.94,1,0.760612
PASSED,8521.5,2514,24,36,53.85,24,36,12,-192.75,7.51,6.06,1.13,7.51,750.88,728.92,531330.72,6007.5,801,100.12,97.19,9445.88,531330.72,1,0.970735
PASSED,8563.5,2675.25,23,36,53.85,23,36,13,-30,7.36,5.96,0.81,7.36,736,508.32,258386.05,5888.25,785.1,98.14,67.78,4593.53,258386.05,1,0.690646
PASSED,8010.75,3672.75,23,40,46.15,23,40,17,-434.25,5.42,4.61,0.71,5.42,542.25,796.34,634154.91,4338,578.4,72.3,106.18,11273.87,634154.91,2,1.468603
PASSED,9821.25,3490.5,26,40,53.85,26,40,14,-152.25,7.91,6.32,0.89,7.91,791.25,777.71,604829.88,6330.75,844.1,105.51,103.69,10752.53,604829.88,1,0.98275
PASSED,8395.5,2694.75,22,35,53.85,22,35,13,-230.25,7.13,5.8,1.12,7.13,712.5,708.28,501657.82,5700.75,760.1,95.01,94.44,8918.36,501657.82,1,0.994001
PASSED,7994.25,2378.25,24,36,53.85,24,36,12,-201,7.02,5.73,0.85,7.02,702,579.34,335633.63,5616,748.8,93.6,77.25,5966.82,335633.63,1,0.825321
PASSED,11368.5,5238,31,50,53.85,31,50,19,-70.5,7.66,6.16,0.71,7.66,766.25,566.89,321367.19,6130.5,817.4,102.17,75.59,5713.19,321367.19,1,0.739845
PASSED,10174.5,4080.75,28,45,53.85,28,45,17,-192.75,7.62,6.13,0.85,7.62,761.63,704.21,495913.92,6093.75,812.5,101.56,93.89,8816.25,495913.92,1,0.924478
PASSED,7532.25,3207,21,38,30.77,21,38,17,-306,5.41,4.6,0.76,5.41,540.63,1030.11,1061134.66,4325.25,576.7,72.09,137.35,18864.62,1061134.66,4,1.905257
